Doi,Title,Domain
https://doi.org/10.1016/j.iotcps.2023.02.004,Edge AI: A survey,Smart City
https://doi.org/10.1016/j.iotcps.2023.02.005,Edge AI: A survey,Smart Transport
https://doi.org/10.1016/j.iotcps.2023.02.006,Edge AI: A survey,IoV
https://doi.org/10.1016/j.iotcps.2023.02.007,Edge AI: A survey,Video Analytics
https://doi.org/10.1016/j.iotcps.2023.02.008,Edge AI: A survey,Context‑Aware Positioning
https://doi.org/10.1016/j.iotcps.2023.02.009,Edge AI: A survey,IIoT
https://doi.org/10.1016/j.sysarc.2024.103114,Adaptive approximate computing in edge AI and IoT applications: A review,IoV
https://doi.org/10.1016/j.sysarc.2024.103115,Adaptive approximate computing in edge AI and IoT applications: A review,Smart Things
https://doi.org/10.1016/j.sysarc.2024.103116,Adaptive approximate computing in edge AI and IoT applications: A review,Context‑Aware Positioning
https://doi.org/10.1016/j.iot.2022.100674,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",Smart City
https://doi.org/10.1016/j.iot.2022.100675,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",IoMT - (Healthcare)
https://doi.org/10.1016/j.iot.2022.100676,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",IoV
https://doi.org/10.1016/j.iot.2022.100677,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",Smart agriculture
https://doi.org/10.1016/j.iot.2022.100678,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",Smart home
https://doi.org/10.1016/j.iot.2022.100679,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",Video Analytics
https://doi.org/10.1016/j.iot.2022.100680,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",Smart buildings
https://doi.org/10.1016/j.iot.2022.100681,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",Content delivery
https://doi.org/10.1016/j.iot.2022.100682,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",IIoT
https://doi.org/10.1016/j.iot.2022.100683,"AI-based fog and edge computing: A systematic review, taxonomy and future directions",IoT
https://doi.org/10.1016/j.jpdc.2022.04.004,Distributed Intelligence on the Edge-to-Cloud Continuum: A Systematic Literature Review,IoMT - (Healthcare)
https://doi.org/10.1016/j.jpdc.2022.04.005,Distributed Intelligence on the Edge-to-Cloud Continuum: A Systematic Literature Review,IoRT - (Robotics)
https://doi.org/10.1016/j.jpdc.2022.04.006,Distributed Intelligence on the Edge-to-Cloud Continuum: A Systematic Literature Review,Smart City
https://doi.org/10.1016/j.jpdc.2022.04.007,Distributed Intelligence on the Edge-to-Cloud Continuum: A Systematic Literature Review,IoT
https://doi.org/10.1016/j.jpdc.2022.04.008,Distributed Intelligence on the Edge-to-Cloud Continuum: A Systematic Literature Review,Smart agriculture
https://doi.org/10.1145/3469029,Machine Learning at the Network Edge: A Survey,Video Analytics
https://doi.org/10.1145/3469030,Machine Learning at the Network Edge: A Survey,Audio Analytics
https://doi.org/10.1145/3469031,Machine Learning at the Network Edge: A Survey,Security
https://doi.org/10.1145/3469032,Machine Learning at the Network Edge: A Survey,IoV
https://doi.org/10.1145/3469033,Machine Learning at the Network Edge: A Survey,Smart Energy
https://doi.org/10.1145/3469034,Machine Learning at the Network Edge: A Survey,Smart City
https://doi.org/10.1145/3469035,Machine Learning at the Network Edge: A Survey,Human Safety
10.1109/OJCOMS.2021.3116437,Enabling and Leveraging AI in the Intelligent Edge: A Review of Current Trends and Future Directions,Smart City
10.1109/OJCOMS.2021.3116437,Enabling and Leveraging AI in the Intelligent Edge: A Review of Current Trends and Future Directions,IIoT
10.1109/OJCOMS.2021.3116438,Enabling and Leveraging AI in the Intelligent Edge: A Review of Current Trends and Future Directions,IoMT - (Healthcare)
10.1109/OJCOMS.2021.3116439,Enabling and Leveraging AI in the Intelligent Edge: A Review of Current Trends and Future Directions,Smart Home
10.1109/OJCOMS.2021.3116440,Enabling and Leveraging AI in the Intelligent Edge: A Review of Current Trends and Future Directions,IIoT
10.1109/OJCOMS.2021.3116441,Enabling and Leveraging AI in the Intelligent Edge: A Review of Current Trends and Future Directions,IoV
10.1109/OJCOMS.2021.3116442,Enabling and Leveraging AI in the Intelligent Edge: A Review of Current Trends and Future Directions,IoV
https://doi.org/10.48550/arXiv.2501.03265,"Optimizing Edge AI: A Comprehensive Survey on Data, Model, and System Strategies",IoMT - (Healthcare)
https://doi.org/10.48550/arXiv.2501.03266,"Optimizing Edge AI: A Comprehensive Survey on Data, Model, and System Strategies",IoV
https://doi.org/10.48550/arXiv.2501.03267,"Optimizing Edge AI: A Comprehensive Survey on Data, Model, and System Strategies",Video Analytics
https://doi.org/10.48550/arXiv.2501.03268,"Optimizing Edge AI: A Comprehensive Survey on Data, Model, and System Strategies",Smart agriculture
https://doi.org/10.48550/arXiv.2501.03269,"Optimizing Edge AI: A Comprehensive Survey on Data, Model, and System Strategies",Smart Retail
https://doi.org/10.48550/arXiv.2501.03270,"Optimizing Edge AI: A Comprehensive Survey on Data, Model, and System Strategies",Smart Energy
https://doi.org/10.48550/arXiv.2501.03271,"Optimizing Edge AI: A Comprehensive Survey on Data, Model, and System Strategies",Smart Home
https://doi.org/10.48550/arXiv.2501.03272,"Optimizing Edge AI: A Comprehensive Survey on Data, Model, and System Strategies",IIoT
https://doi.org/10.1007/s10586-024-04686-y,"Edge AI: A Taxonomy, Systematic Review and Future Directions",IoMT - (Healthcare)
https://doi.org/10.1007/s10586-024-04686-y,"Edge AI: A Taxonomy, Systematic Review and Future Directions",Smart City
https://doi.org/10.1007/s10586-024-04686-y,"Edge AI: A Taxonomy, Systematic Review and Future Directions",Smart Home
https://doi.org/10.1007/s10586-024-04686-y,"Edge AI: A Taxonomy, Systematic Review and Future Directions",Video Analytics
https://doi.org/10.1007/s10586-024-04686-y,"Edge AI: A Taxonomy, Systematic Review and Future Directions",Security
https://doi.org/10.1007/s10586-024-04686-y,"Edge AI: A Taxonomy, Systematic Review and Future Directions",Smart City
https://doi.org/10.1007/s10586-024-04686-y,"Edge AI: A Taxonomy, Systematic Review and Future Directions",IIoT
https://doi.org/10.1007/s10586-024-04686-y,"Edge AI: A Taxonomy, Systematic Review and Future Directions",IoV
https://doi.org/10.1007/s10586-024-04686-y,"Edge AI: A Taxonomy, Systematic Review and Future Directions",IIoT
https://doi.org/10.1007/s10586-024-04686-y,"Edge AI: A Taxonomy, Systematic Review and Future Directions",IoMT - (Healthcare)
https://doi.org/10.1145/3724420,Empowering Edge Intelligence: A Comprehensive Survey on On-Device AI Models,Audio Analytics
https://doi.org/10.1145/3724421,Empowering Edge Intelligence: A Comprehensive Survey on On-Device AI Models,Video Analytics
https://doi.org/10.1145/3724422,Empowering Edge Intelligence: A Comprehensive Survey on On-Device AI Models,IoMT - (Healthcare)
https://doi.org/10.1145/3724423,Empowering Edge Intelligence: A Comprehensive Survey on On-Device AI Models,Smart Home
https://doi.org/10.1145/3724424,Empowering Edge Intelligence: A Comprehensive Survey on On-Device AI Models,IIoT
https://doi.org/10.1145/3724425,Empowering Edge Intelligence: A Comprehensive Survey on On-Device AI Models,Smart agriculture
https://doi.org/10.1145/3724426,Empowering Edge Intelligence: A Comprehensive Survey on On-Device AI Models,Smart City
https://doi.org/10.1145/3724427,Empowering Edge Intelligence: A Comprehensive Survey on On-Device AI Models,IIoT
https://doi.org/10.1145/3724428,Empowering Edge Intelligence: A Comprehensive Survey on On-Device AI Models,IoV
https://doi.org/10.1145/3724429,Empowering Edge Intelligence: A Comprehensive Survey on On-Device AI Models,IoV
https://doi.org/10.1145/3724430,Empowering Edge Intelligence: A Comprehensive Survey on On-Device AI Models,IoMT - (Healthcare)
https://doi.org/10.1145/3724431,Empowering Edge Intelligence: A Comprehensive Survey on On-Device AI Models,IoMT - (Healthcare)