repo_name,sa_doc,url
AISonobuoy,Partially,https://github.com/IQTLabs/AISonobuoy
BirdsEye,Partially,https://github.com/IQTLabs/BirdsEye
compage,Partially,https://github.com/intelops/compage
edge-aio-in-a-box,Partially,https://github.com/Azure-Samples/edge-aio-in-a-box
edge-infer,Partially,https://github.com/unit-mesh/edge-infer
FogBus2,Partially,https://github.com/Cloudslab/FogBus2
JAMScript,Partially,https://github.com/citelab/JAMScript
macchina.io,Partially,https://github.com/macchina-io/macchina.io
openvino_testdrive,Partially,https://github.com/openvinotoolkit/openvino_testdrive
pipy,Partially,https://github.com/flomesh-io/pipy
rhel-edge-automation-arch,Partially,https://github.com/redhat-cop/rhel-edge-automation-arch
SydneyQt,Partially,https://github.com/juzeon/SydneyQt
ai-edge,YES,https://github.com/opendatahub-io/ai-edge
AI-on-the-edge-device,YES,https://github.com/jomjol/AI-on-the-edge-device
ai8x-synthesis,YES,https://github.com/analogdevicesinc/ai8x-synthesis
ai8x-training,YES,https://github.com/analogdevicesinc/ai8x-training
AiCSD,YES,https://github.com/intel/AiCSD
auritus,YES,https://github.com/nesl/auritus
aws-iot-fleetwise-edge,YES,https://github.com/aws/aws-iot-fleetwise-edge
azure-iot-edge-identity-translation-lite,YES,https://github.com/Azure-Samples/azure-iot-edge-identity-translation-lite
azure-iotedge,YES,https://github.com/Azure/azure-iotedge
baetyl,YES,https://github.com/baetyl/baetyl
BitNetMCU,YES,https://github.com/cpldcpu/BitNetMCU
dem,YES,https://github.com/axem-solutions/dem
edge-home-orchestration-go,YES,https://github.com/lf-edge/edge-home-orchestration-go
edgehog,YES,https://github.com/edgehog-device-manager/edgehog
edgehog-device-runtime,YES,https://github.com/edgehog-device-manager/edgehog-device-runtime
edgen,YES,https://github.com/edgenai/edgen
edgerunner,YES,https://github.com/neuralize-ai/edgerunner
ekuiper,YES,https://github.com/lf-edge/ekuiper
emlearn,YES,https://github.com/emlearn/emlearn
eve,YES,https://github.com/lf-edge/eve
evio,YES,https://github.com/EdgeVPNio/evio
executorch,YES,https://github.com/pytorch/executorch
fabedge,YES,https://github.com/FabEdge/fabedge
fedn,YES,https://github.com/scaleoutsystems/fedn
fledge,YES,https://github.com/fledge-iot/fledge
flogo,YES,https://github.com/TIBCOSoftware/flogo
fogflow,YES,https://github.com/smartfog/fogflow
heartkit,YES,https://github.com/AmbiqAI/heartkit
inngest,YES,https://github.com/inngest/inngest
iotedge,YES,https://github.com/Azure/iotedge
iotedge-eflow,YES,https://github.com/Azure/iotedge-eflow
iotedge-lorawan-starterkit,YES,https://github.com/Azure/iotedge-lorawan-starterkit
jevois,YES,https://github.com/jevois/jevois
KAN,YES,https://github.com/Azure/KAN
kantv,YES,https://github.com/zhouwg/kantv
keylime,YES,https://github.com/keylime/keylime
kubeedge,YES,https://github.com/kubeedge/kubeedge
kura,YES,https://github.com/eclipse-kura/kura
LiteRT,YES,https://github.com/google-ai-edge/LiteRT
loxilb,YES,https://github.com/loxilb-io/loxilb
luos_engine,YES,https://github.com/Luos-io/luos_engine
magistrala,YES,https://github.com/absmach/magistrala
MaixPy,YES,https://github.com/sipeed/MaixPy
microshift,YES,https://github.com/openshift/microshift
mindspore,YES,https://github.com/mindspore-ai/mindspore
model_server,YES,https://github.com/openvinotoolkit/model_server
ModelAssistant,YES,https://github.com/Seeed-Studio/ModelAssistant
montithings,YES,https://github.com/MontiCore/montithings
motion-ai,YES,https://github.com/dcmartin/motion-ai
nabto-embedded-sdk,YES,https://github.com/nabto/nabto-embedded-sdk
NanoLLM,YES,https://github.com/dusty-nv/NanoLLM
nanomq,YES,https://github.com/nanomq/nanomq
Olares,YES,https://github.com/beclab/Olares
open-horizon,YES,https://github.com/motion-ai/open-horizon
piccolo,YES,https://github.com/sensiml/piccolo
saf,YES,https://github.com/TRUMPF-IoT/saf
salt,YES,https://github.com/saltstack/salt
self,YES,https://github.com/watson-intu/self
shifu,YES,https://github.com/Edgenesis/shifu
simpleiot,YES,https://github.com/simpleiot/simpleiot
sleepkit,YES,https://github.com/AmbiqAI/sleepkit
smart-social-distancing,YES,https://github.com/galliot-us/smart-social-distancing
solo-server,YES,https://github.com/GetSoloTech/solo-server
supermq,YES,https://github.com/absmach/supermq
thin-edge.io,YES,https://github.com/thin-edge/thin-edge.io
trusted-connector,YES,https://github.com/Fraunhofer-AISEC/trusted-connector
viseron,YES,https://github.com/roflcoopter/viseron
Vitis-AI,YES,https://github.com/Xilinx/Vitis-AI
WasmEdge,YES,https://github.com/WasmEdge/WasmEdge
xsai,YES,https://github.com/moeru-ai/xsai
yomo,YES,https://github.com/yomorun/yomo
zilla,YES,https://github.com/aklivity/zilla
ztachip,YES,https://github.com/ztachip/ztachip