repo_name,iso_family,layer
magistrala,Data,Cross-cutting
supermq,Data,Cross-cutting
aXeleRate,Data,Device
zilla,Interface,Cross-cutting
heartkit,Data,Device
sleepkit,Data,Device
ai8x-synthesis,Data,Device
ai8x-training,Data,Device
aws-iot-fleetwise-edge,Data,Edge
dem,Supporting,Edge
azure-iot-edge-identity-translation-lite,Data,Cross-cutting
edge-aio-in-a-box,Supporting,Cross-cutting
azure-iotedge,Supporting,Device
iotedge,Supporting,Cross-cutting
iotedge-eflow,Supporting,Cross-cutting
iotedge-lorawan-starterkit,Data,Cross-cutting
KAN,Interface,Cross-cutting
baetyl,Supporting,Cross-cutting
Olares,Data,Device
JAMScript,Supporting,Device
FogBus2,Supporting,Edge
tflite_beam,Supporting,Device
tflite_elixir,Data,Device
BitNetMCU,Data,Device
motion-ai,Data,Device
leapfrogai,Data,Cross-cutting
UA-EdgeHEMS,Data,Device
NanoLLM,Data,Device
kura,Interface,Cross-cutting
edgehog,Supporting,Cross-cutting
edgehog-device-runtime,Data,Device
edgen,Data,Device
shifu,Interface,Cross-cutting
evio,Interface,Edge
emlearn,Data,Device
nn-comp,Data,Device
GPT-Telegramus,Interface,Edge
fabedge,Interface,Edge
fledge,Data,Device
pipy,Interface,Edge
trusted-connector,Data,Edge
solo-server,Data,Edge
LiteRT,Data,Device
inngest,Supporting,Fog
AiCSD,Data,Edge
compage,Supporting,Fog
AISonobuoy,Transducer,Device
BirdsEye,Data,Edge
jevois,Data,Device
DeepStack,Data,Device
AI-on-the-edge-device,Data,Device
SydneyQt,Interface,Cross-cutting
keylime,Supporting,Cross-cutting
kubeedge,Supporting,Cross-cutting
edge-home-orchestration-go,Supporting,Device
ekuiper,Data,Device
eve,Supporting,Edge
TPI-LLM,Data,Edge
hal-9100,Data,Edge
loxilb,Data,Edge
luos_engine,Supporting,Device
macchina.io,Data,Cross-cutting
microflow-rs,Data,Device
tokay-lite-sdk,Supporting,Device
mindspore,Data,Cross-cutting
xsai,Interface,Device
montithings,Supporting,Device
nabto-embedded-sdk,Data,Device
nanomq,Data,Device
edgerunner,Supporting,Device
ai-edge,Data,Edge
microshift,Supporting,Edge
model_server,Data,Cross-cutting
openvino_testdrive,Data,Device
executorch,Data,Edge
rhel-edge-automation-arch,Supporting,Edge
redpanda-edge-agent,Data,Edge
viseron,Data,Device
salt,Supporting,Edge
fedn,Data,Edge
ModelAssistant,Data,Device
piccolo,Data,Device
simpleiot,Data,Cross-cutting
MaixPy,Data,Device
fogflow,Supporting,Edge
edgeai-gst-apps,Data,Edge
thin-edge.io,Data,Cross-cutting
flogo,Data,Edge
saf,Supporting,Device
edge-infer,Data,Device
WasmEdge,Supporting,Cross-cutting
self,Data,Device
Vitis-AI,Supporting,Cross-cutting
yomo,Data,Edge
kantv,Data,Edge
ztachip,Data,Device
auritus,Data,Device
open-horizon,Data,Edge
smart-social-distancing,Data,Cross-cutting
magistrala,Supporting,Cross-cutting
supermq,Supporting,Cross-cutting
aXeleRate,Supporting,Device
zilla,Data,Cross-cutting
heartkit,Supporting,Device
sleepkit,Supporting,Device
ai8x-synthesis,Supporting,Device
ai8x-training,Data,Device
aws-iot-fleetwise-edge,Data,Edge
dem,Supporting,Edge
azure-iot-edge-identity-translation-lite,Data,Cross-cutting
edge-aio-in-a-box,Supporting,Cross-cutting
azure-iotedge,Data,Device
iotedge,Data,Cross-cutting
iotedge-eflow,Supporting,Cross-cutting
iotedge-lorawan-starterkit,Data,Cross-cutting
KAN,Supporting,Cross-cutting
baetyl,Supporting,Cross-cutting
Olares,Supporting,Device
JAMScript,Supporting,Device
FogBus2,Supporting,Edge
tflite_beam,Supporting,Device
tflite_elixir,Supporting,Device
BitNetMCU,Data,Device
motion-ai,Data,Device
leapfrogai,Supporting,Cross-cutting
UA-EdgeHEMS,Interface,Device
NanoLLM,Supporting,Device
kura,Data,Cross-cutting
edgehog,Supporting,Cross-cutting
edgehog-device-runtime,Supporting,Device
edgen,Supporting,Device
shifu,Interface,Cross-cutting
evio,Supporting,Edge
emlearn,Supporting,Device
nn-comp,Data,Device
GPT-Telegramus,Data,Edge
fabedge,Supporting,Edge
fledge,Data,Device
pipy,Interface,Edge
trusted-connector,Supporting,Edge
solo-server,Supporting,Edge
LiteRT,Data,Device
inngest,Supporting,Fog
AiCSD,Supporting,Edge
compage,Supporting,Fog
AISonobuoy,Data,Device
BirdsEye,Supporting,Edge
jevois,Supporting,Device
DeepStack,Supporting,Device
AI-on-the-edge-device,Data,Device
SydneyQt,Interface,Cross-cutting
keylime,Supporting,Cross-cutting
kubeedge,Data,Cross-cutting
edge-home-orchestration-go,Supporting,Device
ekuiper,Data,Device
eve,Supporting,Edge
TPI-LLM,Supporting,Edge
hal-9100,Interface,Edge
loxilb,Interface,Edge
luos_engine,Data,Device
macchina.io,Interface,Cross-cutting
microflow-rs,Data,Device
tokay-lite-sdk,Data,Device
mindspore,Data,Cross-cutting
xsai,Interface,Device
montithings,Supporting,Device
nabto-embedded-sdk,Interface,Device
nanomq,Data,Device
edgerunner,Interface,Device
ai-edge,Supporting,Edge
microshift,Supporting,Edge
model_server,Data,Cross-cutting
openvino_testdrive,Data,Device
executorch,Supporting,Edge
rhel-edge-automation-arch,Supporting,Edge
redpanda-edge-agent,Data,Edge
viseron,Data,Device
salt,Supporting,Edge
fedn,Supporting,Edge
ModelAssistant,Supporting,Device
piccolo,Data,Device
simpleiot,Data,Cross-cutting
MaixPy,Supporting,Device
fogflow,Supporting,Edge
edgeai-gst-apps,Data,Edge
thin-edge.io,Data,Cross-cutting
flogo,Supporting,Edge
saf,Supporting,Device
edge-infer,Supporting,Device
WasmEdge,Data,Cross-cutting
self,Supporting,Device
Vitis-AI,Supporting,Cross-cutting
yomo,Supporting,Edge
kantv,Data,Edge
ztachip,Data,Device
auritus,Supporting,Device
open-horizon,Data,Edge
smart-social-distancing,Data,Cross-cutting
magistrala,Supporting,Cross-cutting
supermq,Supporting,Cross-cutting
aXeleRate,Supporting,Device
zilla,Data,Cross-cutting
heartkit,Data,Device
sleepkit,Data,Device
ai8x-synthesis,Supporting,Device
ai8x-training,Supporting,Device
aws-iot-fleetwise-edge,Data,Edge
dem,Supporting,Edge
azure-iot-edge-identity-translation-lite,Supporting,Cross-cutting
edge-aio-in-a-box,Data,Cross-cutting
azure-iotedge,Data,Device
iotedge,Supporting,Cross-cutting
iotedge-eflow,Supporting,Cross-cutting
iotedge-lorawan-starterkit,Supporting,Cross-cutting
KAN,Supporting,Cross-cutting
baetyl,Interface,Cross-cutting
Olares,Supporting,Device
JAMScript,Interface,Device
FogBus2,Supporting,Edge
tflite_beam,Interface,Device
tflite_elixir,Supporting,Device
BitNetMCU,Supporting,Device
motion-ai,Data,Device
leapfrogai,Supporting,Cross-cutting
UA-EdgeHEMS,Transducer,Device
NanoLLM,Interface,Device
kura,Interface,Cross-cutting
edgehog,Supporting,Cross-cutting
edgehog-device-runtime,Supporting,Device
edgen,Supporting,Device
shifu,Supporting,Cross-cutting
evio,Interface,Edge
emlearn,Supporting,Device
nn-comp,Data,Device
GPT-Telegramus,Interface,Edge
fabedge,Supporting,Edge
fledge,Transducer,Device
pipy,Data,Edge
trusted-connector,Supporting,Edge
solo-server,Supporting,Edge
LiteRT,Supporting,Device
inngest,Supporting,Fog
AiCSD,Data,Edge
compage,Supporting,Fog
AISonobuoy,Supporting,Device
BirdsEye,Data,Edge
jevois,Data,Device
DeepStack,Data,Device
AI-on-the-edge-device,Data,Device
SydneyQt,Interface,Cross-cutting
keylime,Supporting,Cross-cutting
kubeedge,Data,Cross-cutting
edge-home-orchestration-go,Supporting,Device
ekuiper,Supporting,Device
eve,Supporting,Edge
TPI-LLM,Data,Edge
hal-9100,Supporting,Edge
loxilb,Supporting,Edge
luos_engine,Supporting,Device
macchina.io,Supporting,Cross-cutting
microflow-rs,Supporting,Device
tokay-lite-sdk,Interface,Device
mindspore,Data,Cross-cutting
xsai,Interface,Device
montithings,Data,Device
nabto-embedded-sdk,Supporting,Device
nanomq,Data,Device
edgerunner,Supporting,Device
ai-edge,Data,Edge
microshift,Supporting,Edge
model_server,Supporting,Cross-cutting
openvino_testdrive,Supporting,Device
executorch,Supporting,Edge
rhel-edge-automation-arch,Supporting,Edge
redpanda-edge-agent,Supporting,Edge
viseron,Data,Device
salt,Supporting,Edge
fedn,Supporting,Edge
ModelAssistant,Supporting,Device
piccolo,Supporting,Device
simpleiot,Supporting,Cross-cutting
MaixPy,Transducer,Device
fogflow,Supporting,Edge
edgeai-gst-apps,Supporting,Edge
thin-edge.io,Supporting,Cross-cutting
flogo,Data,Edge
saf,Data,Device
edge-infer,Supporting,Device
WasmEdge,Supporting,Cross-cutting
self,Supporting,Device
Vitis-AI,Supporting,Cross-cutting
yomo,Data,Edge
kantv,Data,Edge
ztachip,Data,Device
auritus,Data,Device
open-horizon,Interface,Edge
smart-social-distancing,Data,Cross-cutting
